Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
Ookow,ookow,,Bloomsday Natives,,perennial,"Pacific Northwest, perennial, pollinator",TRUE,active,DICCON-4,BDXE26QMAK,,,,,,,,,,,,,TRUE,,,,,,shopify,21,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/191967620/medium.jpeg,1,Ookow,,FALSE,,,,,,,,,,,,,,,,
Oregon Black Walnut,oregon-black-walnut,,Bloomsday Natives,,tree,"Pacific Northwest, tree",TRUE,active,JUGHIN-3G,BDAUHTSRDZ,,,,,,,,,,,,,TRUE,,,,,,shopify,56,DENY,,,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
Oregon Geranium,oregon-geranium,,Bloomsday Natives,,perennial,"Pacific Northwest, perennial, pollinator",TRUE,active,GERORE-1G,BD67VVSUUQ,,,,,,,,,,,,,TRUE,,,,,,shopify,41,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/206689606/medium.jpg,1,Oregon Geranium,,FALSE,,,,,,,,,,,,,,,,
Oregon Iris,oregon-iris,,Bloomsday Natives,,perennial,"Pacific Northwest, perennial, pollinator",TRUE,active,IRITEN-1G,BDCNFNLEPR,,,,,,,,,,,,,TRUE,,,,,,shopify,16,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/73222851/medium.jpg,1,Oregon Iris,,FALSE,,,,,,,,,,,,,,,,
Oregon Stonecrop,oregon-stonecrop,,Bloomsday Natives,,other,"Pacific Northwest, other, pollinator",TRUE,active,"SEDORE-3.5""",BDQVFESUAJ,,,,,,,,,,0.00,,,TRUE,,,,,,shopify,19,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/47196326/medium.jpg,1,Oregon Stonecrop,,FALSE,,,,,,,,,,,,,,,,
Oregon White Oak,oregon-white-oak,,Bloomsday Natives,,tree,"Pacific Northwest, tree, pollinator, bird-friendly",TRUE,active,QUEGAR-1g,BDF553S2TU,,,,,,,,,,,,,TRUE,,,,,,shopify,4,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/321991481/medium.jpg,1,Oregon White Oak,,FALSE,,,,,,,,,,,,,,,,
Oso Berry,oso-berry,,Bloomsday Natives,,shrub,"Pacific Northwest, shrub, pollinator, bird-friendly",TRUE,active,OEMCER-1G,BDT7E3L82R,,,,,,,,,,,,,TRUE,,,,,,shopify,51,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/5410/medium.jpg,1,Oso Berry,,FALSE,,,,,,,,,,,,,,,,
Oval Leaf Huckleberry,oval-leaf-huckleberry,,Bloomsday Natives,,shrub,"Pacific Northwest, shrub",TRUE,active,VACOVA-2g,BDBSBVP9E3,,,,,,,,,,45.00,,,TRUE,,,,,,shopify,3,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/455521983/medium.jpg,1,Oval Leaf Huckleberry,,FALSE,,,,,,,,,,,,,,,,
Oval-leaved Viburnum,oval-leaved-viburnum,,Bloomsday Natives,,shrub,"Pacific Northwest, shrub, pollinator, bird-friendly",TRUE,active,VIBELL-1G,BDYJPAFPVJ,,,,,,,,,,,,,TRUE,,,,,,shopify,7,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/1966515/medium.jpg,1,Oval-leaved Viburnum,,FALSE,,,,,,,,,,,,,,,,
Pacific Crab apple,pacific-crab-apple,,Bloomsday Natives,,tree,"Pacific Northwest, tree, pollinator, bird-friendly",TRUE,active,MALFUS-1G,BDAWHDVQPG,Size,1 Gal,,,,,,,,,,,TRUE,,,,,,shopify,22,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/3101906/medium.JPG,1,Pacific Crab apple,,FALSE,,,,,,,,,,,,,,,,
,pacific-crab-apple,,,,,,,,MALFUS-2G,BD7UZ6NYZH,,2 Gal,,,,,,,,,,,TRUE,,,,,,shopify,29,DENY,,,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
Pacific Dogwood,pacific-dogwood,,Bloomsday Natives,,tree,"Pacific Northwest, tree, pollinator, bird-friendly",TRUE,active,CORNUT-3x9in-band,BDEF6MHUVV,,,,,,,,,,18.00,,,TRUE,,,,,,shopify,6,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/22606935/medium.jpeg,1,Pacific Dogwood,,FALSE,,,,,,,,,,,,,,,,
Pacific Madrone,pacific-madrone,,Bloomsday Natives,,tree,"Pacific Northwest, tree, bird-friendly",TRUE,active,ARBMEN-1g,BDXCRMAUZ7,Size,1 gal,,,,,,,,30.00,,,TRUE,,,,,,shopify,4,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/8268086/medium.jpg,1,Pacific Madrone,,FALSE,,,,,,,,,,,,,,,,
,pacific-madrone,,,,,,,,ARBMEN-2G,BDKBTXJRZG,,2 Gal,,,,,,,,,,,TRUE,,,,,,shopify,5,DENY,,,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
Pacific Ninebark,pacific-ninebark,,Bloomsday Natives,,shrub,"Pacific Northwest, shrub, pollinator",TRUE,active,PHYCAP-1g,BDE3JUQHQE,,,,,,,,,,15.00,,,TRUE,,,,,,shopify,4,DENY,,,TRUE,manual,https://static.inaturalist.org/photos/133641026/medium.jpeg,1,Pacific Ninebark,,FALSE,,,,,,,,,,,,,,,,
Pacific Silverweed,pacific-silverweed,,Bloomsday Natives,,perennial,"Pacific Northwest, perennial",TRUE,active,ARGANS-4,BD6QDAGBBV,,,,,,,,,,,,,TRUE,,,,,,shopify,4,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/43334473/medium.jpeg,1,Pacific Silverweed,,FALSE,,,,,,,,,,,,,,,,
Penstemon rydbergii,penstemon-rydbergii,,Bloomsday Natives,,perennial,perennial,TRUE,active,PENRYD-1G,BDC9Q3X3S8,,,,,,,,,,,,,TRUE,,,,,,shopify,8,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/406307801/medium.jpeg,1,Penstemon rydbergii,,FALSE,,,,,,,,,,,,,,,,
Perennial Buckwheat,perennial-buckwheat,,Bloomsday Natives,,perennial,"Pacific Northwest, perennial",TRUE,active,FAGDIB-1G,BD3XYY5HVC,,,,,,,,,,,,,TRUE,,,,,,shopify,25,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/232791999/medium.jpg,1,Perennial Buckwheat,,FALSE,,,,,,,,,,,,,,,,
Piggy Back Plant,piggy-back-plant,,Bloomsday Natives,,perennial,"Pacific Northwest, perennial, pollinator",TRUE,active,TOLMEN-4,BDGER7BFGT,,,,,,,,,,,,,TRUE,,,,,,shopify,2,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/381398891/medium.jpeg,1,Piggy Back Plant,,FALSE,,,,,,,,,,,,,,,,
Ponderosa Pine,ponderosa-pine,,Bloomsday Natives,,tree,"Pacific Northwest, tree",TRUE,active,PINPON-2G,BDAH8EKE44,,,,,,,,,,,,,TRUE,,,,,,shopify,3,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/3790446/medium.JPG,1,Ponderosa Pine,,FALSE,,,,,,,,,,,,,,,,
Ponderosa Pine (Willamette Valley),ponderosa-pine-willamette-valley,,Bloomsday Natives,,tree,"Pacific Northwest, tree",TRUE,active,PINPON-3g,BD2NG4THMP,,,,,,,,,,30.00,,,TRUE,,,,,,shopify,3,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/3790446/medium.JPG,1,Ponderosa Pine (Willamette Valley),,FALSE,,,,,,,,,,,,,,,,
Prairie Junegrass,prairie-junegrass,,Bloomsday Natives,,graminoid,graminoid,TRUE,active,KOEMAC-3.5,BDEB7HXNF5,,,,,,,,,,,,,TRUE,,,,,,shopify,12,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/42363755/medium.jpg,1,Prairie Junegrass,,FALSE,,,,,,,,,,,,,,,,
Quaking Aspen,quaking-aspen,,Bloomsday Natives,,tree,"Pacific Northwest, tree",TRUE,active,POPTRE-5G,BDWE5CEC8Q,,,,,,,,,,,,,TRUE,,,,,,shopify,2,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/26648317/medium.jpeg,1,Quaking Aspen,,FALSE,,,,,,,,,,,,,,,,
Rabbit Brush,rabbit-brush,,Bloomsday Natives,,shrub,"Pacific Northwest, shrub",TRUE,active,ERINAU-1g,BD2ET6Q6SQ,,,,,,,,,,13.50,,,TRUE,,,,,,shopify,4,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/317214763/medium.jpeg,1,Rabbit Brush,,FALSE,,,,,,,,,,,,,,,,
Red Alder,red-alder,,Bloomsday Natives,,tree,"Pacific Northwest, tree, pollinator, bird-friendly",TRUE,active,ALNRUB-1g,BDNXJWAT5L,,,,,,,,,,19.50,,,TRUE,,,,,,shopify,2,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/50900970/medium.jpg,1,Red Alder,,FALSE,,,,,,,,,,,,,,,,
Red Flowering Currant,red-flowering-currant,,Bloomsday Natives,,shrub,"Pacific Northwest, shrub, pollinator, bird-friendly",TRUE,active,RIBSAN-2G,BDLCL973M7,Size,2 Gal,,,,,,,,,,,TRUE,,,,,,shopify,17,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/474659582/medium.jpg,1,Red Flowering Currant,,FALSE,,,,,,,,,,,,,,,,
,red-flowering-currant,,,,,,,,RIBSAN-1G,BD6Y3RCAHH,,1 Gal,,,,,,,,,,,TRUE,,,,,,shopify,48,DENY,,,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
Red Osier Dogwood,red-osier-dogwood,,Bloomsday Natives,,shrub,"Pacific Northwest, shrub, pollinator, bird-friendly",TRUE,active,CORSER-1G,BDLRC78N7T,,,,,,,,,,,,,TRUE,,,,,,shopify,26,DENY,,,TRUE,manual,https://static.inaturalist.org/photos/16633753/medium.jpg,1,Red Osier Dogwood,,FALSE,,,,,,,,,,,,,,,,
Roemer's Fescue,roemers-fescue,,Bloomsday Natives,,graminoid,"Pacific Northwest, graminoid",TRUE,active,FESROE-3.5,BDBZUL3CN5,,,,,,,,,,,,,TRUE,,,,,,shopify,12,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/410975874/medium.jpg,1,Roemer's Fescue,,FALSE,,,,,,,,,,,,,,,,
Rose Meadowsweet,rose-meadowsweet,,Bloomsday Natives,,shrub,"shrub, pollinator, bird-friendly",TRUE,active,SPIDEN-1G,BDDM3QQMQ8,,,,,,,,,,,,,TRUE,,,,,,shopify,6,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/42274400/medium.jpeg,1,Rose Meadowsweet,,FALSE,,,,,,,,,,,,,,,,
Rose or Dwarf Checkermallow,rose-or-dwarf-checkermallow,,Bloomsday Natives,,perennial,"Pacific Northwest, perennial, pollinator",TRUE,active,SIDMAL-2G,BD3MEQ35SS,,,,,,,,,,,,,TRUE,,,,,,shopify,5,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/962/medium.jpg,1,Rose or Dwarf Checkermallow,,FALSE,,,,,,,,,,,,,,,,
Seep Monkey Flower,seep-monkey-flower,,Bloomsday Natives,,perennial,"Pacific Northwest, perennial, pollinator, bird-friendly",TRUE,active,MIMGUT-3.5,BDH8NFT9TH,,,,,,,,,,,,,TRUE,,,,,,shopify,14,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/80360799/medium.jpeg,1,Seep Monkey Flower,,FALSE,,,,,,,,,,,,,,,,
Serviceberry,serviceberry,,Bloomsday Natives,,shrub,"Pacific Northwest, shrub, pollinator, bird-friendly",TRUE,active,AMEALN-1G,BDNPAHRHNG,,,,,,,,,,,,,TRUE,,,,,,shopify,47,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/8047816/medium.jpg,1,Serviceberry,,FALSE,,,,,,,,,,,,,,,,
Showy Boykinia,showy-boykinia,,Bloomsday Natives,,perennial,"Pacific Northwest, perennial, pollinator",TRUE,active,BOYMAJ-4,BDTTQPZFCH,,,,,,,,,,,,,TRUE,,,,,,shopify,14,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/202910/medium.jpg,1,Showy Boykinia,,FALSE,,,,,,,,,,,,,,,,
Sierra Currant,sierra-currant,,Bloomsday Natives,,shrub,"Pacific Northwest, shrub",TRUE,active,RIBNEV-1g,BDFUVKBKBG,,,,,,,,,,21.00,,,TRUE,,,,,,shopify,5,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/174784/medium.jpg,1,Sierra Currant,,FALSE,,,,,,,,,,,,,,,,
Silk Tassel Tree,silk-tassel-tree,,Bloomsday Natives,,shrub,"Pacific Northwest, shrub, pollinator, bird-friendly",TRUE,active,GARELL-1g,BDV6ZQUSWD,,,,,,,,,,21.00,,,TRUE,,,,,,shopify,6,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/348744523/medium.jpg,1,Silk Tassel Tree,,FALSE,,,,,,,,,,,,,,,,
Slough Sedge,slough-sedge,,Bloomsday Natives,,graminoid,"Pacific Northwest, graminoid",TRUE,active,CAROBN-1g,BDHC8DPHAZ,,,,,,,,,,12.00,,,TRUE,,,,,,shopify,23,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/548280134/medium.jpg,1,Slough Sedge,,FALSE,,,,,,,,,,,,,,,,
Smooth Sumac,smooth-sumac,,Bloomsday Natives,,shrub,"Pacific Northwest, shrub, pollinator, bird-friendly",TRUE,active,RHUGLA-1G,BDTRWM3ZLA,,,,,,,,,,,,,TRUE,,,,,,shopify,7,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/8818018/medium.jpg,1,Smooth Sumac,,FALSE,,,,,,,,,,,,,,,,
Snowberry,snowberry,,Bloomsday Natives,,shrub,"Pacific Northwest, shrub, pollinator, bird-friendly",TRUE,active,SYMALB-4TB,BDP2XSN8KA,Size,"4"" Tall Band",,,,,,,,,,,TRUE,,,,,,shopify,77,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/293373777/medium.jpg,1,Snowberry,,FALSE,,,,,,,,,,,,,,,,
,snowberry,,,,,,,,SYMALB-358BAND,BDJTNY8SH2,,"3 5/8""",,,,,,,,0.00,,,TRUE,,,,,,shopify,20,DENY,,,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
Soft Rush,soft-rush,,Bloomsday Natives,,graminoid,"Pacific Northwest, graminoid",TRUE,active,JUNEFF-4,BDDKB65PGQ,,,,,,,,,,,,,TRUE,,,,,,shopify,25,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/41202988/medium.jpg,1,Soft Rush,,FALSE,,,,,,,,,,,,,,,,
Spicebush,spicebush,,Bloomsday Natives,,shrub,"Pacific Northwest, shrub",TRUE,active,CALOCC-5G,BD4WLZP89Z,,,,,,,,,,,,,TRUE,,,,,,shopify,2,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/523756956/medium.jpg,1,Spicebush,,FALSE,,,,,,,,,,,,,,,,
Spreading Gooseberry,spreading-gooseberry,,Bloomsday Natives,,shrub,"Pacific Northwest, shrub, pollinator, bird-friendly",TRUE,active,RIBDIV-2G,BDE3CY6RT2,,,,,,,,,,,,,TRUE,,,,,,shopify,5,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/187183909/medium.jpg,1,Spreading Gooseberry,,FALSE,,,,,,,,,,,,,,,,
Star-Flowered Solomons Seal,star-flowered-solomons-seal,,Bloomsday Natives,,perennial,"Pacific Northwest, perennial",TRUE,active,MAISTE-4,BDAHPF9F46,,,,,,,,,,,,,TRUE,,,,,,shopify,11,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/5315/medium.jpg,1,Star-Flowered Solomons Seal,,FALSE,,,,,,,,,,,,,,,,
Starflower,starflower,Syn:  Trientalis borealis ,Bloomsday Natives,,perennial,"Pacific Northwest, perennial, pollinator",TRUE,active,LYSLAT-3.5,BD9ZTGP2WW,,,,,,,,,,,,,TRUE,,,,,,shopify,2,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/82441036/medium.jpg,1,Starflower,,FALSE,,,,,,,,,,,,,,,,
Streambank Lupine,streambank-lupine,,Bloomsday Natives,,perennial,"perennial, pollinator",TRUE,active,LUPRIV-4,BDQZ6LBN7Q,Size,"4"" Band",,,,,,,,,,,TRUE,,,,,,shopify,36,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/17772143/medium.jpg,1,Streambank Lupine,,FALSE,,,,,,,,,,,,,,,,
,streambank-lupine,,,,,,,,LUPRIV-1G,BDP99QBEGV,,1 Gal,,,,,,,,,,,TRUE,,,,,,shopify,24,DENY,,,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
Sword Fern,sword-fern,,Bloomsday Natives,,fern,"Pacific Northwest, fern",TRUE,active,POLMUN-4,BDNKJRKKHC,,,,,,,,,,,,,TRUE,,,,,,shopify,84,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/412744739/medium.jpeg,1,Sword Fern,,FALSE,,,,,,,,,,,,,,,,
Tall Oregon Grape,tall-oregon-grape,,Bloomsday Natives,,shrub,"Pacific Northwest, shrub, pollinator, bird-friendly",TRUE,active,MAHAQU-2G,BDLQTD44ZG,,,,,,,,,,,,,TRUE,,,,,,shopify,83,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/16702958/medium.jpg,1,Tall Oregon Grape,,FALSE,,,,,,,,,,,,,,,,
Tapertip Onion,tapertip-onion,,Bloomsday Natives,,perennial,"Pacific Northwest, perennial, pollinator",TRUE,active,ALLACU-4,BDQDSCVSLQ,,,,,,,,,,,,,TRUE,,,,,,shopify,18,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/20424858/medium.jpg,1,Tapertip Onion,,FALSE,,,,,,,,,,,,,,,,
Thimble Berry,thimble-berry,,Bloomsday Natives,,shrub,"Pacific Northwest, shrub, pollinator",TRUE,active,RUBPAR-2g,BDWZT6WVH2,Size,2 gal,,,,,,,,20.00,,,TRUE,,,,,,shopify,8,DENY,,,TRUE,manual,https://static.inaturalist.org/photos/508162072/medium.jpg,1,Thimble Berry,,FALSE,,,,,,,,,,,,,,,,
,thimble-berry,,,,,,,,RUBPAR-1g,BDVFKQFJ77,,1 gal,,,,,,,,9.00,,,TRUE,,,,,,shopify,39,DENY,,,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
Thinleaf Onion,thinleaf-onion,,Bloomsday Natives,,bulb,"Pacific Northwest, bulb",TRUE,active,ALLAMP-4,BD7MCRVQAB,,,,,,,,,,,,,TRUE,,,,,,shopify,72,DENY,,,TRUE,manual,https://static.inaturalist.org/photos/72256535/medium.jpeg,1,Thinleaf Onion,,FALSE,,,,,,,,,,,,,,,,
Three-Leaf Sumac,three-leaf-sumac,,Bloomsday Natives,,shrub,"Pacific Northwest, shrub, pollinator, bird-friendly",TRUE,active,RHUTRI-1G,BD68NM34AH,,,,,,,,,,,,,TRUE,,,,,,shopify,3,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/100046127/medium.jpg,1,Three-Leaf Sumac,,FALSE,,,,,,,,,,,,,,,,
"Tree Collard ""Big Blue""",tree-collard-big-blue,,Bloomsday Natives,,perennial,perennial,TRUE,active,BRASSPBIG-QT,BD3MZWKM6V,,,,,,,,,,0.00,,,TRUE,,,,,,shopify,16,DENY,,,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
Twinberry,twinberry,,Bloomsday Natives,,shrub,"Pacific Northwest, shrub, pollinator, bird-friendly",TRUE,active,LONINV-1G,BDVDZ96CPC,,,,,,,,,,,,,TRUE,,,,,,shopify,50,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/52126544/medium.jpeg,1,Twinberry,,FALSE,,,,,,,,,,,,,,,,
Upland Yellow Violet,upland-yellow-violet,,Bloomsday Natives,,perennial,"Pacific Northwest, perennial",TRUE,active,VIOPRA-3.5,BD5T6SXJSE,,,,,,,,,,,,,TRUE,,,,,,shopify,2,DENY,,,TRUE,manual,https://static.inaturalist.org/photos/55221025/medium.jpeg,1,Upland Yellow Violet,,FALSE,,,,,,,,,,,,,,,,
Vine Maple,vine-maple,,Bloomsday Natives,,tree,"Pacific Northwest, tree, pollinator, bird-friendly",TRUE,active,ACECIR-1G,BDHMW378WD,,,,,,,,,,,,,TRUE,,,,,,shopify,2,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/78597312/medium.jpeg,1,Vine Maple,,FALSE,,,,,,,,,,,,,,,,
Wapato,wapato,,Bloomsday Natives,,perennial,"perennial, pollinator, bird-friendly",TRUE,active,SAGLAT-4,BDKAL9HTLG,,,,,,,,,,,,,TRUE,,,,,,shopify,54,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/89848802/medium.jpg,1,Wapato,,FALSE,,,,,,,,,,,,,,,,
Welsh Onion,welsh-onion,,Bloomsday Natives,,perennial,"Pacific Northwest, perennial",TRUE,active,ALLFIS-4,BDKPHPWFAY,Size,"4"" Band",,,,,,,,,,,TRUE,,,,,,shopify,11,DENY,,,TRUE,manual,https://static.inaturalist.org/photos/273655277/medium.jpeg,1,Welsh Onion,,FALSE,,,,,,,,,,,,,,,,
,welsh-onion,,,,,,,,ALLFIS-1g,BDG59NP2DC,,1 gal,,,,,,,,12.00,,,TRUE,,,,,,shopify,4,DENY,,,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
Western Columbine,western-columbine,,Bloomsday Natives,,perennial,"perennial, pollinator, bird-friendly",TRUE,active,AQUFOR-238,BD92P2HZWV,Size,"2 3/8"" Band Pot",,,,,,,,,,,TRUE,,,,,,shopify,3,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/508509095/medium.jpg,1,Western Columbine,,FALSE,,,,,,,,,,,,,,,,
,western-columbine,,,,,,,,AQUFOR-4in,BDA8WPTMZC,,4 inch,,,,,,,,7.00,,,TRUE,,,,,,shopify,36,DENY,,,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
,western-columbine,,,,,,,,AQUFOR-278,BDPBT96MJ7,,"2 7/8"" Band Pot",,,,,,,,,,,TRUE,,,,,,shopify,31,DENY,,,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
Western Hemlock,western-hemlock,,Bloomsday Natives,,tree,"Pacific Northwest, tree, pollinator, bird-friendly",TRUE,active,TSUHET-5g,BDWRZ38RRG,,,,,,,,,,54.00,,,TRUE,,,,,,shopify,2,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/45391159/medium.jpg,1,Western Hemlock,,FALSE,,,,,,,,,,,,,,,,
Western Pearly Everlasting,western-pearly-everlasting,,Bloomsday Natives,,perennial,"Pacific Northwest, perennial, pollinator",TRUE,active,ANAMAR-1G,BD2ZJXWCCM,,,,,,,,,,,,,TRUE,,,,,,shopify,9,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/54041809/medium.jpeg,1,Western Pearly Everlasting,,FALSE,,,,,,,,,,,,,,,,
Western Violet,western-violet,,Bloomsday Natives,,perennial,"Pacific Northwest, perennial, pollinator",TRUE,active,VIOADU-3.5,BDEGPBTKW7,,,,,,,,,,,,,TRUE,,,,,,shopify,13,DENY,,,TRUE,manual,https://static.inaturalist.org/photos/192684110/medium.jpg,1,Western Violet,,FALSE,,,,,,,,,,,,,,,,
Woods' Rose,woods-rose,,Bloomsday Natives,,shrub,"Pacific Northwest, shrub, pollinator, bird-friendly",TRUE,active,ROSWOO-2G,BDZCBGH6FL,Size,2 Gal,,,,,,,,,,,TRUE,,,,,,shopify,18,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/4560367/medium.jpeg,1,Woods' Rose,,FALSE,,,,,,,,,,,,,,,,
,woods-rose,,,,,,,,ROSWOO-1G,BDHX6G4BJL,,1 Gal,,,,,,,,,,,TRUE,,,,,,shopify,27,DENY,,,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
Yarrow,yarrow,,Bloomsday Natives,,perennial,"perennial, pollinator",TRUE,active,ACHMIL-3.5,BDPXD4Z2DG,,,,,,,,,,,,,TRUE,,,,,,shopify,47,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/4902/medium.jpg,1,Yarrow,,FALSE,,,,,,,,,,,,,,,,
